doc_id,paper_title,authors,categories,published,arxiv_url,abstract
2410.03969v3,"Embrace rejection: Kernel matrix approximation by accelerated randomly
  pivoted Cholesky",Ethan N. Epperly; Joel A. Tropp; Robert J. Webber,math.NA; cs.NA; stat.CO; stat.ML,2024-10-04 23:21:37,https://arxiv.org/abs/2410.03969v3,"Randomly pivoted Cholesky (RPCholesky) is an algorithm for constructing a
low-rank approximation of a positive-semidefinite matrix using a small number
of columns. This paper develops an accelerated version of RPCholesky that
employs block matrix computations and rejection sampling to efficiently
si"
2408.16142v4,"Classifying acoustic cavitation with machine learning trained on
  multiple physical models",Trinidad Gatica; Elwin van 't Wout; Reza Haqshenas,physics.comp-ph; physics.flu-dyn,2024-08-28 21:07:48,https://arxiv.org/abs/2408.16142v4,"Acoustic cavitation threshold charts are used to map between acoustic
parameters (mainly intensity and frequency) and different regimes of acoustic
cavitation. The two main regimes are transient cavitation, where a bubble
collapses, and stable cavitation, where a bubble undergoes periodic
oscillatio"
2409.07413v5,"SPRING: an effective and reliable framework for image reconstruction in
  single-particle Coherent Diffraction Imaging",Alessandro Colombo; Mario Sauppe; Andre Al Haddad; Kartik Ayyer; Morsal Babayan; Rebecca Boll; Ritika Dagar; Simon Dold; Thomas Fennel; Linos Hecht; Gregor Knopp; Katharina Kolatzki; Bruno Langbehn; Filipe R. N. C. Maia; Abhishek Mall; Parichita Mazumder; Tommaso Mazza; Yevheniy Ovcharenko; Ihsan Caner Polat; Dirk Raiser; Julian C. Schäfer-Zimmermann; Kirsten Schnorr; Marie Louise Schubert; Arezu Sehati; Jonas A. Sellberg; Björn Senfftleben; Zhou Shen; Zhibin Sun; Pamela H. W. Svensson; Paul Tümmler; Sergey Usenko; Carl Frederic Ussling; Onni Veteläinen; Simon Wächter; Noelle Walsh; Alex V. Weitnauer; Tong You; Maha Zuod; Michael Meyer; Christoph Bostedt; Davide E. Galli; Minna Patanen; Daniela Rupp,physics.optics; cond-mat.mes-hall; physics.atm-clus; physics.comp-ph; physics.data-an,2024-09-11 16:54:03,https://arxiv.org/abs/2409.07413v5,"Coherent Diffraction Imaging (CDI) is an experimental technique to gain
images of isolated structures by recording the light scattered off the sample.
In principle, the sample density can be recovered from the scattered light
field through a straightforward Fourier Transform operation. However, only"
2412.15322v2,"MMAudio: Taming Multimodal Joint Training for High-Quality
  Video-to-Audio Synthesis",Ho Kei Cheng; Masato Ishii; Akio Hayakawa; Takashi Shibuya; Alexander Schwing; Yuki Mitsufuji,cs.CV; cs.LG; cs.SD; eess.AS,2024-12-19 18:59:55,https://arxiv.org/abs/2412.15322v2,"We propose to synthesize high-quality and synchronized audio, given video and
optional text conditions, using a novel multimodal joint training framework
MMAudio. In contrast to single-modality training conditioned on (limited) video
data only, MMAudio is jointly trained with larger-scale, readily a"
2412.16320v3,"Combining BART and Principal Stratification to estimate the effect of
  intermediate variables on primary outcomes with application to estimating the
  effect of family planning on employment in Nigeria and Senegal",Lucas Godoy Garraza; Ilene Speizer; Leontine Alkema,stat.ME; stat.AP,2024-12-20 20:12:04,https://arxiv.org/abs/2412.16320v3,"There is interest in learning about the causal effects of family planning
(FP) on empowerment-related outcomes. Data related to this question are
available from studies in which FP programs increase access to FP, but such
interventions do not necessarily result in uptake of FP. In addition, women
im"
2410.12036v2,Deep Optimal Sensor Placement for Black Box Stochastic Simulations,Paula Cordero-Encinar; Tobias Schröder; Peter Yatsyshin; Andrew Duncan,stat.ML; cs.LG; stat.AP,2024-10-15 20:10:25,https://arxiv.org/abs/2410.12036v2,"Selecting cost-effective optimal sensor configurations for subsequent
inference of parameters in black-box stochastic systems faces significant
computational barriers. We propose a novel and robust approach, modelling the
joint distribution over input parameters and solution with a joint energy-base"
2408.06994v2,The complex of cuts in a Stone space,Beth Branman; Robert Alonzo Lyman,math.GT; math.GR,2024-08-13 15:54:14,https://arxiv.org/abs/2408.06994v2,"Stone's representation theorem asserts a duality between Boolean algebras on
the one hand and Stone space, which are compact, Hausdorff, and totally
disconnected, on the other. This duality implies a natural isomorphism between
the homeomorphism group of the space and the automorphism group of the a"
2409.02476v2,"Phase changes of the flow rate in the vertebral artery caused by
  debranching thoracic endovascular aortic repair: effects of flow path and
  local vessel stiffness on vertebral arterial pulsation",Naoki Takeishia; Li Jialongb; Naoto Yokoyamac; Takasumi Gotoe; Hisashi Tanakad; Shigeru Miyagawa; Shigeo Wada,physics.bio-ph; q-bio.TO,2024-09-04 06:49:12,https://arxiv.org/abs/2409.02476v2,"Despite numerous studies on cerebral arterial blood flow, there has not yet
been a comprehensive description of hemodynamics in patients undergoing
debranching thoracic endovascular aortic repair (dTEVAR), a promising surgical
option for aortic arch aneurysms. A phase delay of the flow rate in the l"
2412.05495v6,"Kinematical breaking of symmetry : A physical interpretation of
  Brout-Englert-Higgs mechanism",Shun-ichiro Koh,physics.gen-ph,2024-12-07 01:41:40,https://arxiv.org/abs/2412.05495v6,"A new interpretation of the Brout-Englert-Higgs (BEH) mechanism is proposed.
The quantum vacuum before symmetry is broken is not a quiet state, but a
relativistic many-body state in which virtual massless fermion and antifermion,
taking both timelike and spacelike paths, rapidly appear and disappear"
2410.20982v2,Motivated Reasoning and the Political Economy of Climate Change Inaction,Philipp Denter,econ.TH,2024-10-28 13:00:42,https://arxiv.org/abs/2410.20982v2,"Two office-driven politicians compete in an election by proposing policies.
There are two possible states of the world: climate change is either mild, with
no lasting effect on welfare if addressed properly, or severe, leading to
reduced welfare even with appropriate measures. Voters receive signals"
2407.06295v3,"Engineering morphogenesis of cell clusters with differentiable
  programming",Ramya Deshpande; Francesco Mottes; Ariana-Dalia Vlad; Michael P. Brenner; Alma dal Co,cs.LG,2024-07-08 18:05:11,https://arxiv.org/abs/2407.06295v3,"Understanding the rules underlying organismal development is a major unsolved
problem in biology. Each cell in a developing organism responds to signals in
its local environment by dividing, excreting, consuming, or reorganizing, yet
how these individual actions coordinate over a macroscopic number "
2412.20570v1,"Voltage laws in nanodomains revealed by asymptotics and simulations of
  electro-diffusion equations",Frédéric Paquin-Lefebvre; Alejandro Barea Moreno; David Holcman,cond-mat.soft; math.AP; q-bio.SC,2024-12-29 20:43:29,https://arxiv.org/abs/2412.20570v1,"Characterizing the local voltage distribution within nanophysiological
domains, driven by ionic currents through membrane channels, is crucial for
studying cellular activity in modern biophysics, yet it presents significant
experimental and theoretical challenges. Theoretically, the complexity arise"
2408.06050v2,"What Ails Generative Structure-based Drug Design: Expressivity is Too
  Little or Too Much?",Rafał Karczewski; Samuel Kaski; Markus Heinonen; Vikas Garg,cs.LG; q-bio.BM,2024-08-12 10:55:29,https://arxiv.org/abs/2408.06050v2,"Several generative models with elaborate training and sampling procedures
have been proposed to accelerate structure-based drug design (SBDD); however,
their empirical performance turns out to be suboptimal. We seek to better
understand this phenomenon from both theoretical and empirical perspective"
2406.10343v4,Flux-balance laws for spinning bodies under the gravitational self-force,Alexander M. Grant,gr-qc; math-ph; math.MP,2024-06-14 18:00:05,https://arxiv.org/abs/2406.10343v4,"The motion of an extended, but still weakly gravitating body in general
relativity can often be determined by a set of conserved quantities. Much like
for geodesic motion, a sufficient number of conserved quantities allows the
motion to be solved by quadrature. Under the gravitational self-force (re"
2405.19171v3,"Dedekind-MacNeille and related completions: subfitness, regularity, and
  Booleanness",G. Bezhanishvili; F. Dashiell Jr; M. A. Moshier; J. Walters-Wayland,math.GN,2024-05-29 15:15:33,https://arxiv.org/abs/2405.19171v3,"Completions play an important r\^ole for studying structure by supplying
elements that in some sense ``ought to be."" Among these, the Dedekind-MacNeille
completion is of particular importance. In 1968 Janowitz provided necessary and
sufficient conditions for it to be subfit or Boolean. Another natur"
